0,2.1172e+06,2.1677e+06,2.2681e+06,2.6607e+06,2.8514e+06
60,2.0917e+06,2.1396e+06,2.2347e+06,2.6063e+06,2.7865e+06
120,2.0674e+06,2.1128e+06,2.2029e+06,2.5548e+06,2.7252e+06
180,2.0443e+06,2.0873e+06,2.1727e+06,2.5059e+06,2.667e+06
240,2.0222e+06,2.063e+06,2.1439e+06,2.4593e+06,2.6117e+06
300,2.0012e+06,2.0398e+06,2.1164e+06,2.4149e+06,2.5591e+06
360,1.9811e+06,2.0176e+06,2.0902e+06,2.3726e+06,2.5088e+06
420,1.9619e+06,1.9965e+06,2.0651e+06,2.3322e+06,2.4609e+06
480,1.9436e+06,1.9763e+06,2.0411e+06,2.2935e+06,2.415e+06
540,1.926e+06,1.9569e+06,2.0182e+06,2.2564e+06,2.371e+06
600,1.9093e+06,1.9384e+06,1.9962e+06,2.2209e+06,2.3289e+06
660,1.8932e+06,1.9207e+06,1.9752e+06,2.1868e+06,2.2884e+06
720,1.8779e+06,1.9037e+06,1.955e+06,2.154e+06,2.2495e+06
780,1.8632e+06,1.8874e+06,1.9356e+06,2.1225e+06,2.2121e+06
840,1.8491e+06,1.8718e+06,1.917e+06,2.0922e+06,2.176e+06
900,1.8356e+06,1.8569e+06,1.8992e+06,2.063e+06,2.1413e+06
960,1.8226e+06,1.8425e+06,1.8821e+06,2.0349e+06,2.1078e+06
1020,1.8102e+06,1.8288e+06,1.8656e+06,2.0078e+06,2.0754e+06
1080,1.7983e+06,1.8156e+06,1.8498e+06,1.9817e+06,2.0442e+06
1140,1.787e+06,1.803e+06,1.8346e+06,1.9565e+06,2.014e+06
1200,1.7761e+06,1.7908e+06,1.82e+06,1.9321e+06,1.9848e+06
1260,1.7656e+06,1.7792e+06,1.806e+06,1.9086e+06,1.9565e+06
1320,1.7556e+06,1.768e+06,1.7925e+06,1.8859e+06,1.9292e+06
1380,1.746e+06,1.7573e+06,1.7796e+06,1.864e+06,1.9028e+06
1440,1.7369e+06,1.7471e+06,1.7671e+06,1.8428e+06,1.8771e+06
