0,1.0874e+07,5.1425e+06,3.5227e+06,2.2658e+06,1.8841e+06,7.6535e+05
1000,1.0791e+07,5.0597e+06,3.4399e+06,2.183e+06,1.8014e+06,6.8259e+05
2000,1.071e+07,4.9819e+06,3.3636e+06,2.1091e+06,1.7286e+06,6.1695e+05
3000,1.0631e+07,4.9086e+06,3.293e+06,2.0426e+06,1.6641e+06,5.6327e+05
4000,1.0554e+07,4.8394e+06,3.2275e+06,1.9824e+06,1.6064e+06,5.1834e+05
5000,1.0478e+07,4.774e+06,3.1665e+06,1.9276e+06,1.5544e+06,4.8003e+05
6000,1.0403e+07,4.7121e+06,3.1096e+06,1.8774e+06,1.5072e+06,4.4686e+05
7000,1.033e+07,4.6534e+06,3.0563e+06,1.8313e+06,1.4642e+06,4.178e+05
8000,1.0259e+07,4.5977e+06,3.0063e+06,1.7887e+06,1.4248e+06,3.9207e+05
9000,1.0188e+07,4.5447e+06,2.9593e+06,1.7493e+06,1.3886e+06,3.6909e+05
10000,1.0119e+07,4.4944e+06,2.915e+06,1.7127e+06,1.3551e+06,3.4841e+05
11000,1.0051e+07,4.4464e+06,2.8732e+06,1.6785e+06,1.324e+06,3.2968e+05
12000,9.9839e+06,4.4006e+06,2.8338e+06,1.6466e+06,1.2952e+06,3.1261e+05
13000,9.9178e+06,4.3569e+06,2.7964e+06,1.6167e+06,1.2682e+06,2.9699e+05
14000,9.8526e+06,4.3153e+06,2.761e+06,1.5887e+06,1.2431e+06,2.8262e+05
15000,9.7882e+06,4.2754e+06,2.7274e+06,1.5623e+06,1.2195e+06,2.6935e+05
16000,9.7245e+06,4.2373e+06,2.6955e+06,1.5375e+06,1.1973e+06,2.5705e+05
17000,9.6616e+06,4.2008e+06,2.6651e+06,1.514e+06,1.1765e+06,2.4562e+05
18000,9.5993e+06,4.1659e+06,2.6362e+06,1.4918e+06,1.1568e+06,2.3497e+05
19000,9.5376e+06,4.1324e+06,2.6087e+06,1.4708e+06,1.1383e+06,2.2501e+05
20000,9.4765e+06,4.1004e+06,2.5825e+06,1.4509e+06,1.1207e+06,2.1568e+05
21000,9.4158e+06,4.0696e+06,2.5574e+06,1.432e+06,1.1041e+06,2.0691e+05
22000,9.3556e+06,4.0401e+06,2.5335e+06,1.4141e+06,1.0884e+06,1.9867e+05
23000,9.2957e+06,4.0118e+06,2.5107e+06,1.397e+06,1.0734e+06,1.9091e+05
24000,9.2362e+06,3.9847e+06,2.4888e+06,1.3808e+06,1.0592e+06,1.8358e+05
25000,9.1769e+06,3.9586e+06,2.4679e+06,1.3653e+06,1.0457e+06,1.7665e+05
26000,9.1178e+06,3.9336e+06,2.448e+06,1.3506e+06,1.0329e+06,1.7009e+05
27000,9.0588e+06,3.9096e+06,2.4288e+06,1.3366e+06,1.0206e+06,1.6387e+05
28000,8.9999e+06,3.8865e+06,2.4105e+06,1.3231e+06,1.009e+06,1.5797e+05
29000,8.9411e+06,3.8643e+06,2.393e+06,1.3103e+06,9.9786e+05,1.5238e+05
30000,8.8823e+06,3.843e+06,2.3762e+06,1.2981e+06,9.8724e+05,1.4705e+05
31000,8.8234e+06,3.8226e+06,2.3602e+06,1.2864e+06,9.7711e+05,1.4199e+05
32000,8.7644e+06,3.803e+06,2.3448e+06,1.2752e+06,9.6743e+05,1.3718e+05
33000,8.7052e+06,3.7842e+06,2.3301e+06,1.2646e+06,9.5819e+05,1.3259e+05
34000,8.6458e+06,3.7661e+06,2.316e+06,1.2544e+06,9.4936e+05,1.2822e+05
35000,8.5861e+06,3.7488e+06,2.3025e+06,1.2446e+06,9.4092e+05,1.2405e+05
36000,8.5261e+06,3.7321e+06,2.2896e+06,1.2353e+06,9.3286e+05,1.2008e+05
37000,8.4657e+06,3.7162e+06,2.2772e+06,1.2264e+06,9.2516e+05,1.1629e+05
38000,8.4048e+06,3.7009e+06,2.2654e+06,1.2178e+06,9.1781e+05,1.1268e+05
39000,8.3433e+06,3.6863e+06,2.2542e+06,1.2097e+06,9.1078e+05,1.0923e+05
40000,8.2814e+06,3.6722e+06,2.2434e+06,1.2019e+06,9.0408e+05,1.0595e+05
41000,8.2187e+06,3.6588e+06,2.2331e+06,1.1945e+06,8.9768e+05,1.0281e+05
42000,8.1554e+06,3.646e+06,2.2234e+06,1.1874e+06,8.9157e+05,99824
43000,8.0913e+06,3.6337e+06,2.2141e+06,1.1807e+06,8.8576e+05,96976
44000,8.0264e+06,3.622e+06,2.2052e+06,1.1743e+06,8.8022e+05,94264
45000,7.9607e+06,3.6108e+06,2.1969e+06,1.1682e+06,8.7494e+05,91683
46000,7.8939e+06,3.6002e+06,2.1889e+06,1.1624e+06,8.6994e+05,89228
47000,7.8261e+06,3.59e+06,2.1814e+06,1.1569e+06,8.6518e+05,86895
48000,7.7573e+06,3.5803e+06,2.1743e+06,1.1517e+06,8.6068e+05,84680
49000,7.6873e+06,3.5711e+06,2.1677e+06,1.1468e+06,8.5642e+05,82581
50000,7.616e+06,3.5623e+06,2.1615e+06,1.1422e+06,8.524e+05,80594
51000,7.5434e+06,3.5539e+06,2.1556e+06,1.1378e+06,8.4861e+05,78717
52000,7.4695e+06,3.546e+06,2.1502e+06,1.1337e+06,8.4505e+05,76947
53000,7.3941e+06,3.5384e+06,2.1452e+06,1.1299e+06,8.4173e+05,75283
54000,7.3172e+06,3.5312e+06,2.1406e+06,1.1264e+06,8.3863e+05,73722
55000,7.2386e+06,3.5244e+06,2.1364e+06,1.1231e+06,8.3575e+05,72264
